Date,Open,High,Low,Close,Adjusted_close,Volume
2025-06-04,0.45,0.455,0.445,0.445,0.445,85760
2025-06-05,0.45,0.455,0.445,0.45,0.45,1063932
2025-06-06,0.45,0.46,0.45,0.45,0.45,227639
2025-06-10,0.45,0.455,0.44,0.45,0.45,299544
2025-06-11,0.445,0.445,0.435,0.445,0.445,905046
2025-06-12,0.445,0.455,0.445,0.455,0.455,96270
2025-06-13,0.465,0.5,0.465,0.485,0.485,535231
2025-06-16,0.475,0.475,0.435,0.445,0.445,318333
2025-06-17,0.445,0.46,0.44,0.46,0.46,816108
2025-06-18,0.47,0.475,0.44,0.44,0.44,113591
2025-06-19,0.43,0.43,0.43,0.43,0.43,107393
2025-06-20,0.43,0.44,0.43,0.44,0.44,196441
2025-06-23,0.43,0.43,0.395,0.41,0.41,332240
2025-06-24,0.41,0.45,0.41,0.44,0.44,262408
2025-06-25,0.435,0.435,0.4275,0.4275,0.4275,14215
2025-06-26,0.44,0.45,0.43,0.435,0.435,400231
2025-06-27,0.44,0.46,0.44,0.45,0.45,477798
2025-06-30,0.47,0.49,0.46,0.48,0.48,757011
2025-07-01,0.49,0.53,0.49,0.5,0.5,1245999
2025-07-02,0.515,0.54,0.5,0.535,0.535,1628191
2025-07-03,0.535,0.57,0.535,0.555,0.555,600427
2025-07-04,0.56,0.61,0.56,0.6,0.6,782068
2025-07-07,0.6,0.63,0.575,0.58,0.58,695936
2025-07-08,0.59,0.59,0.58,0.58,0.58,192894
2025-07-09,0.58,0.58,0.55,0.56,0.56,419996
2025-07-10,0.565,0.58,0.56,0.56,0.56,241466
2025-07-11,0.56,0.56,0.54,0.54,0.54,190672
2025-07-14,0.55,0.615,0.55,0.59,0.59,341544
2025-07-15,0.58,0.605,0.555,0.585,0.585,497341
2025-07-16,0.59,0.595,0.555,0.59,0.59,23994
2025-07-17,0.555,0.56,0.555,0.56,0.56,22775
2025-07-18,0.57,0.6,0.57,0.58,0.58,344486
2025-07-21,0.575,0.575,0.55,0.55,0.55,692221
2025-07-22,0.555,0.56,0.51,0.52,0.52,521095
2025-07-23,0.53,0.6,0.53,0.6,0.6,596457
2025-07-24,0.58,0.595,0.56,0.595,0.595,163876
2025-07-25,0.6,0.6,0.585,0.6,0.6,151509
2025-07-28,0.6,0.625,0.59,0.61,0.61,313570
2025-07-29,0.61,0.615,0.595,0.61,0.61,218727
2025-07-30,0.6,0.61,0.58,0.605,0.605,157674
2025-07-31,0.665,0.665,0.63,0.65,0.65,1276170
2025-08-01,0.66,0.67,0.655,0.66,0.66,1436836
2025-08-04,0.73,0.75,0.685,0.695,0.695,2342521
2025-08-05,0.71,0.725,0.695,0.725,0.725,814904
2025-08-06,0.75,0.775,0.745,0.76,0.76,862375
2025-08-07,0.79,0.83,0.775,0.83,0.83,1368842
2025-08-08,0.89,1,0.87,0.985,0.985,1820595
2025-08-11,0.985,0.985,0.985,0.985,0.985,0
2025-08-12,0.985,0.985,0.985,0.985,0.985,0
2025-08-13,1.09,1.18,1.065,1.18,1.18,2970980
2025-08-14,1.17,1.17,1.05,1.15,1.15,1653692
2025-08-15,1.145,1.15,1.06,1.08,1.08,661072
2025-08-18,1.06,1.1,1.05,1.085,1.085,561468
2025-08-19,1.085,1.16,1.07,1.16,1.16,607196
2025-08-20,1.18,1.325,1.18,1.25,1.25,1628199
2025-08-21,1.24,1.25,1.2,1.25,1.25,1096186
2025-08-22,1.23,1.25,1.2275,1.25,1.25,600578
2025-08-25,1.24,1.245,1.21,1.22,1.22,623837
2025-08-26,1.21,1.23,1.105,1.195,1.195,522068
2025-08-27,1.19,1.2,1.12,1.16,1.16,465098
2025-08-28,1.17,1.17,1.1,1.14,1.14,460505
2025-08-29,1.15,1.185,1.12,1.13,1.13,307947
2025-09-01,1.16,1.24,1.16,1.22,1.22,332626
2025-09-02,1.21,1.21,1.16,1.16,1.16,334804
2025-09-03,1.15,1.175,1.135,1.135,1.135,438813
2025-09-04,1.165,1.195,1.115,1.165,1.165,525204
2025-09-05,1.16,1.185,1.12,1.18,1.18,384860
2025-09-08,1.175,1.19,1.15,1.18,1.18,284423
2025-09-09,1.145,1.18,1.12,1.175,1.175,353838
2025-09-10,1.15,1.2,1.15,1.19,1.19,1038424
2025-09-11,1.23,1.45,1.23,1.45,1.45,3032275
2025-09-12,1.385,1.42,1.365,1.42,1.42,965248
2025-09-15,1.38,1.42,1.38,1.4,1.4,818467
2025-09-16,1.5,1.585,1.49,1.56,1.56,1621935
2025-09-17,1.63,1.73,1.63,1.655,1.655,1850508
2025-09-18,1.615,1.675,1.58,1.66,1.66,824902
2025-09-19,1.67,1.78,1.66,1.69,1.69,844718
2025-09-22,1.74,1.74,1.625,1.715,1.715,592825
2025-09-23,1.695,1.835,1.695,1.815,1.815,673342
2025-09-24,1.79,1.88,1.775,1.815,1.815,813451
2025-09-25,1.77,1.8,1.69,1.715,1.715,1058484
2025-09-26,1.72,1.75,1.665,1.72,1.72,478993
2025-09-29,1.705,1.71,1.635,1.68,1.68,432653
2025-09-30,1.675,1.7,1.65,1.67,1.67,484351
2025-10-01,1.68,1.845,1.66,1.815,1.815,618467
2025-10-02,1.8,1.885,1.8,1.84,1.84,1143447
2025-10-03,1.84,1.84,1.78,1.79,1.79,719965
2025-10-06,1.79,1.82,1.67,1.715,1.715,665527
2025-10-07,1.7,1.715,1.56,1.59,1.59,806936
2025-10-08,1.555,1.615,1.45,1.615,1.615,914964
2025-10-09,1.6,1.6,1.44,1.455,1.455,975676
2025-10-10,1.45,1.585,1.44,1.555,1.555,962770
2025-10-13,1.5,1.56,1.5,1.53,1.53,480763
2025-10-14,1.73,1.9,1.73,1.78,1.78,1821995
2025-10-15,1.8,1.8,1.7,1.7,1.7,906495
2025-10-16,1.68,1.69,1.59,1.65,1.65,837014
2025-10-17,1.7,1.77,1.645,1.685,1.685,1195130
2025-10-20,1.68,1.8,1.66,1.77,1.77,828364
2025-10-21,1.815,1.87,1.765,1.83,1.83,1121875
2025-10-22,1.735,1.735,1.58,1.61,1.61,1193343
2025-10-23,1.62,1.745,1.62,1.645,1.645,695525
2025-10-24,1.67,1.705,1.635,1.655,1.655,246955
2025-10-27,1.645,1.71,1.595,1.655,1.655,383558
2025-10-28,1.635,1.635,1.48,1.485,1.485,978963
2025-10-29,1.56,1.625,1.56,1.595,1.595,679208
2025-10-30,1.615,1.655,1.475,1.5,1.5,335693
2025-10-31,1.54,1.55,1.495,1.53,1.53,425561
2025-11-03,1.55,1.6,1.5,1.55,1.55,310393
2025-11-04,1.55,1.57,1.51,1.52,1.52,312218
2025-11-05,1.5,1.5,1.38,1.415,1.415,691018
2025-11-06,1.435,1.49,1.415,1.47,1.47,173841
2025-11-07,1.47,1.5,1.45,1.475,1.475,144652
2025-11-10,1.545,1.55,1.5,1.51,1.51,196264
2025-11-11,1.545,1.595,1.52,1.53,1.53,371520
2025-11-12,1.54,1.545,1.5,1.51,1.51,209688
2025-11-13,1.515,1.525,1.485,1.495,1.495,225450
2025-11-14,1.49,1.49,1.425,1.45,1.45,353226
2025-11-17,1.435,1.46,1.375,1.44,1.44,206144
2025-11-18,1.42,1.45,1.31,1.35,1.35,454996
2025-11-19,1.36,1.375,1.32,1.325,1.325,408467
2025-11-20,1.325,1.345,1.31,1.315,1.315,295751
2025-11-21,1.31,1.41,1.25,1.325,1.325,658727
2025-11-24,1.325,1.49,1.325,1.415,1.415,296288
2025-11-25,1.41,1.435,1.34,1.4,1.4,177508
2025-11-26,1.395,1.435,1.39,1.405,1.405,179412
2025-11-27,1.425,1.475,1.425,1.46,1.46,273815
2025-11-28,1.4775,1.55,1.47,1.525,1.525,240599
2025-12-01,1.525,1.54,1.46,1.46,1.46,177661
2025-12-02,1.45,1.495,1.415,1.495,1.495,162168
2025-12-03,1.4925,1.605,1.465,1.56,1.56,308691
2025-12-04,1.5,1.59,1.5,1.535,1.535,279055
2025-12-05,1.54,1.54,1.46,1.46,1.46,75687
2025-12-08,1.515,1.6,1.395,1.585,1.585,580018
2025-12-09,1.585,1.6,1.49,1.5,1.5,692631
2025-12-10,1.51,1.7225,1.51,1.65,1.65,698072
2025-12-11,1.65,1.73,1.605,1.66,1.66,508192
2025-12-12,1.67,1.69,1.605,1.61,1.61,242036
2025-12-15,1.62,1.625,1.55,1.55,1.55,234668
2025-12-16,1.59,1.59,1.46,1.465,1.465,402997
2025-12-17,1.5,1.55,1.475,1.55,1.55,89786
2025-12-18,1.55,1.55,1.465,1.5,1.5,349471
2025-12-19,1.55,1.64,1.52,1.64,1.64,1953252
2025-12-22,1.62,1.65,1.535,1.65,1.65,292824
2025-12-23,1.64,1.76,1.64,1.73,1.73,510932
2025-12-24,1.71,1.74,1.6925,1.72,1.72,285906
2025-12-29,1.735,1.78,1.71,1.76,1.76,326484
2025-12-30,1.76,1.76,1.69,1.725,1.725,111189
2025-12-31,1.73,1.795,1.69,1.76,1.76,162128
2026-01-02,1.73,1.79,1.72,1.74,1.74,50995
2026-01-05,1.7,1.78,1.695,1.72,1.72,179728
2026-01-06,1.675,1.77,1.625,1.75,1.75,188902
2026-01-07,1.7,1.81,1.7,1.715,1.715,334722
2026-01-08,1.7,1.75,1.57,1.63,1.63,388814
2026-01-09,1.635,1.65,1.55,1.56,1.56,304808
2026-01-12,1.56,1.67,1.56,1.665,1.665,313688
2026-01-13,1.635,1.7,1.635,1.7,1.7,156960
2026-01-14,1.7,1.89,1.7,1.89,1.89,1036688
2026-01-15,1.76,1.835,1.72,1.78,1.78,782241
2026-01-16,1.78,1.88,1.78,1.88,1.88,626295
2026-01-19,1.86,2.085,1.85,2.04,2.04,1801268
