Date,Open,High,Low,Close,Adjusted_close,Volume
2025-05-26,0.055,0.059,0.051,0.055,0.055,92543505
2025-05-27,0.059,0.086,0.058,0.078,0.078,214060419
2025-05-28,0.088,0.094,0.078,0.094,0.094,137846129
2025-05-29,0.086,0.095,0.078,0.092,0.092,123477901
2025-05-30,0.096,0.1025,0.092,0.097,0.097,118900522
2025-06-02,0.15,0.17,0.125,0.145,0.145,150875566
2025-06-03,0.11,0.125,0.098,0.115,0.115,119340960
2025-06-04,0.125,0.145,0.115,0.145,0.145,77980472
2025-06-05,0.13,0.135,0.125,0.135,0.135,46186166
2025-06-06,0.135,0.14,0.115,0.125,0.125,37927134
2025-06-10,0.12,0.125,0.0995,0.1,0.1,50868151
2025-06-11,0.095,0.096,0.069,0.079,0.079,194276022
2025-06-12,0.082,0.1,0.081,0.1,0.1,148386493
2025-06-13,0.095,0.1,0.088,0.091,0.091,81460555
2025-06-16,0.089,0.105,0.086,0.1,0.1,57289822
2025-06-17,0.105,0.115,0.094,0.099,0.099,63131399
2025-06-18,0.094,0.098,0.092,0.092,0.092,32867030
2025-06-19,0.093,0.095,0.079,0.079,0.079,50690808
2025-06-20,0.079,0.085,0.075,0.08,0.08,56959515
2025-06-23,0.076,0.078,0.072,0.075,0.075,30427942
2025-06-24,0.075,0.078,0.073,0.074,0.074,25547966
2025-06-25,0.078,0.082,0.076,0.076,0.076,36430408
2025-06-26,0.077,0.089,0.076,0.085,0.085,47615303
2025-06-27,0.087,0.094,0.086,0.087,0.087,53943138
2025-06-30,0.089,0.096,0.087,0.094,0.094,30955375
2025-07-01,0.099,0.105,0.094,0.095,0.095,50269435
2025-07-02,0.097,0.099,0.094,0.096,0.096,26992939
2025-07-03,0.093,0.093,0.089,0.09,0.09,13730235
2025-07-04,0.091,0.092,0.084,0.084,0.084,13498468
2025-07-07,0.084,0.091,0.081,0.089,0.089,13468612
2025-07-08,0.098,0.105,0.095,0.105,0.105,90615015
2025-07-09,0.096,0.097,0.092,0.093,0.093,30836266
2025-07-10,0.09,0.093,0.087,0.089,0.089,8676729
2025-07-11,0.093,0.1025,0.091,0.091,0.091,66573468
2025-07-14,0.092,0.105,0.087,0.099,0.099,36249458
2025-07-15,0.1,0.13,0.1,0.125,0.125,35721249
2025-07-16,0.14,0.145,0.125,0.13,0.13,51740603
2025-07-17,0.125,0.13,0.12,0.125,0.125,9875664
2025-07-18,0.125,0.135,0.125,0.125,0.125,13270249
2025-07-21,0.13,0.14,0.125,0.135,0.135,27463526
2025-07-22,0.135,0.155,0.13,0.15,0.15,37464296
2025-07-23,0.15,0.1575,0.14,0.14,0.14,30211333
2025-07-24,0.14,0.145,0.13,0.14,0.14,19831299
2025-07-25,0.13,0.135,0.125,0.135,0.135,13026642
2025-07-28,0.13,0.135,0.125,0.125,0.125,8687108
2025-07-29,0.125,0.13,0.11,0.12,0.12,20172851
2025-07-30,0.115,0.12,0.11,0.115,0.115,3690326
2025-07-31,0.115,0.125,0.115,0.115,0.115,10174538
2025-08-01,0.115,0.135,0.115,0.135,0.135,15460987
2025-08-04,0.135,0.14,0.125,0.135,0.135,9896884
2025-08-05,0.135,0.14,0.125,0.125,0.125,10773411
2025-08-06,0.13,0.135,0.125,0.13,0.13,9413135
2025-08-07,0.13,0.13,0.12,0.12,0.12,10724277
2025-08-08,0.12,0.1275,0.12,0.125,0.125,2458179
2025-08-11,0.135,0.145,0.13,0.14,0.14,15305523
2025-08-12,0.145,0.1575,0.14,0.155,0.155,25670397
2025-08-13,0.16,0.17,0.15,0.165,0.165,23376883
2025-08-14,0.17,0.21,0.17,0.2,0.2,60966646
2025-08-15,0.2,0.21,0.18,0.19,0.19,37967058
2025-08-18,0.19,0.215,0.185,0.2,0.2,29043804
2025-08-19,0.215,0.24,0.215,0.225,0.225,41037403
2025-08-20,0.215,0.215,0.195,0.21,0.21,23711235
